bg,0,333,C,0
bgm,0,BGM_DRAMA_SAD,L,0
グリゼルディス,12048,オリヴィア、ここにいたのね,R,0
オリヴィア,12010,私が会議の場にいては本音で話せないだろう。<br>我々の意見は伝えてあるし、変わらない,L,0
オリヴィア,12010,それに……覚悟を決めているとはいえ<br>私たちを差しだせという言葉を聞くのは辛い,L,0
オリヴィア,12010,短い間だったが、<br>共に戦ってきた仲間だからな,L,0
グリゼルディス,12048,shake_random:S,R,0
グリゼルディス,12048,ごめんなさい。私があのとき、<br>見つかっていなければこんなことには……,R,0
グリゼルディス,12048,仲間にも同じことを言われて、<br>会議を追い出されたわ,R,0
オリヴィア,12010,気にするな。今回でなくとも、いずれ<br>長官は同じような脅しをかけてきただろう,L,0
オリヴィア,12010,君たちの足を引っ張るより、<br>この命で大勢を救うほうがずっといい,L,0
グリゼルディス,12048,強いのね……,R,0
オリヴィア,12010,弱いさ、本当は逃げ出したいくらいに。<br>身体の震えが止まらないんだ,L,0
オリヴィア,12010,だが、この赤い花が<br>勇気や誇りを思い出させてくれる,L,0
オリヴィア,12010,君はなぜ、この花を選んで<br>アジトへ持ってきたんだ？,L,0
グリゼルディス,12048,オリヴィアの花を見ると、<br>優しさを思い出せるから,R,0
グリゼルディス,12048,……ピクニックへ行ったときにね、<br>弟が花飾りを作ってくれたの,R,0
グリゼルディス,12048,この花をみれば、どんなに心が擦り減ったときも<br>弟の笑顔が浮かんでくるわ,R,0
グリゼルディス,12048,だから今まで戦い続けることができた。でも……,R,0
グリゼルディス,12048,弟たちを助ける代わりに、<br>同じ花を愛した仲間を見殺しに……,R,0
オリヴィア,12010,…………,L,0
グリゼルディス,12048,shake_random,R,0
グリゼルディス,12048,ごめんなさい、ごめんなさい……<br>ごめんなさい……ごめんなさい……,R,0
グリゼルディス,12048,うっ、くっ……うあああっ……,R,1
オリヴィア,12010,もういい、もういいんだ。<br>これ以上、自分を責めるな……,L,0
オリヴィア,12010,その代わり、<br>最後に君の願いを聞かせてくれないか,L,0
グリゼルディス,12048,……,R,0
オリヴィア,12010,グリゼルディスではなく、グレーテの願いを,L,0
グリゼルディス,12048,……会いたい,R,0
グリゼルディス,12048,お願い、弟やみんなを助けて……<br>あの子に、シャッツに会いたい……！,R,0
オリヴィア,12010,slow_slide_r,L,0
オリヴィア,12010,了解。おかげで身体の震えが止まった。<br>君の想いを、必ず守る,L,0
