bg,0,333,C,0
bgm,0,BGM_DRAMA_HAPPY,L,0
反長官派兵士,80164,長官側の戦力は、大陸外の傭兵も含めて１万人。<br>無人機が５００機,L,0
フェーベ,12008,in,R,0
フェーベ,12008,shake_random,R,0
フェーベ,12008,ええっ、そんなに……！,R,0
グリゼルディス,12048,私たちはレジスタンス、義勇軍、地下勢力、<br>反長官派……全て合わせても６００人ほど,R,0
オリヴィア,12010,数字上は、絶望的な戦力差だな,L,0
反長官派兵士,80164,加えて、巨大兵器が２機。<br>内１機は中層部の基地で整備中だ,L,0
グリゼルディス,12048,あれがまだ２機も……,R,0
グリゼルディス,12048,ジークルーン様と<br>ゴットフリート様は無事なの？,R,0
反長官派兵士,80164,城が占拠されたこと以外はわからない,L,0
反長官派兵士,80164,ただ、殺害されているならば<br>情報部が大々的に発表すると考えている,L,0
オリヴィア,12010,情報部が勝利したという事実を<br>民衆に印象づけられるだろうからな,L,0
アリーナ,12004,今のところは、無事と考えていいんだよね,R,0
ピリカ,80008,信じよう。そういえばアロイスとカタリナって<br>どうしてるのか知ってる？,R,0
反長官派兵士,80164,消息不明だ。情報部が血眼になって<br>行方を探している,L,0
反長官派兵士,80164,おそらく巨大兵器の調整を<br>手伝わせるつもりなのだろう,L,0
リヴェラ,7520,カタリナはともかく、アロイスは<br>長官側についてもおかしくないのよね,R,0
オリヴィア,12010,それはないだろう。思想は似ているが<br>アロイスは情報部を毛嫌いしていた,L,0
オリヴィア,12010,なんらかの理由で長官を<br>罪の大陸へ送ったのはアロイスなんだ,L,0
グリゼルディス,12048,じゃあ、ドクトル・カタリナとアロイスを<br>情報部より先に見つけられたら……,R,0
オリヴィア,12010,仲間になってくれる可能性はある,L,0
ピリカ,80004,アロイスは機械を乗っ取る能力があるんだ。<br>巨大兵器を無力化できるかもよ！,R,0
フェーベ,12008,じゃあぼくたちの次の目標は<br>アロイスさんとカタリナさんを探すこと？,R,0
アリーナ,12004,そして中層部へ殴り込みからの城奪還！,L,0
グリゼルディス,12048,まず優先すべきは中層部前線基地の占拠ね。<br>そしてそのための、更なる戦力増強,R,0
反長官派兵士,80164,……我々の情報を信じてくれるのか？,L,0
グリゼルディス,12048,嘘をつくことに<br>意味がない情報だったもの,R,0
グリゼルディス,12048,その代わり、ひとつだけ聞かせて。<br>あなたはなぜ長官と戦うの？,R,0
反長官派兵士,80164,……正直に言えば、私は長官と同じく<br>機族の権威を守りたいと考えている,L,0
反長官派兵士,80164,だが時代がそれを求めていないのはわかるし、<br>暴力的なやり方は望まない,L,0
反長官派兵士,80164,議会で正々堂々と決するべき問題だと思う,L,0
アリーナ,12004,上層民や機族といっても、色々考えがあるんだね,R,0
グリゼルディス,12048,そして今は、思想を乗り越えて<br>手を取り合わなければいけないとき,R,0
グリゼルディス,12048,信じるわ、あなたを,R,0
反長官派兵士,80164,shake_v,L,0
反長官派兵士,80164,……感謝する！,L,0
アリーナ,12004,それじゃあ、レジスタンスに<br>協力してくれる人を探そう！,R,0
アリーナ,12004,今ならきっと、立ち上がってくれる<br>下層民の人たちがいるはず！,R,0
オリヴィア,12010,街の警備も兼ねて、勧誘に出かけよう,L,0
ピリカ,80008,レミラとリフレットには、もう一度<br>ギーゼラたちを助けに行ってもらうね,R,0
