bg,0,26,L,0
bgm,0,BGM_DRAMA_URGENT_01,L,0
カイン,40,in,R,0
黒の軍勢Ａ,80204,in,L,0
wait,0,0.5,C,0
カイン,40,fast_slide_l,R,0
se,0,SE_ZANGEKI_01,C,0
issen,0,,L,0
wait,0,0.5,C,0
黒の軍勢Ａ,80204,dmg,L,0
wait,0,0.5,C,0
黒の軍勢Ａ,80204,dead_zako,L,0
wait,0,0.5,C,0
カイン,40,slide_to_l,R,0
wait,0,0.5,L,0
黒の軍勢Ｂ,80205,in,R,0
wait,0,0.5,C,0
カイン,40,くっ……きりがない！,L,0
MulCharaOut,0,,C,0
ピリカ,80008,どうしよう、※※※※※※！<br>魔物の数が多すぎる！,L,0
フィーナ,80009,魔物だらけで道が見えません……っ,R,0
MulCharaOut,0,,R,0
quakeStart,0,,R,0
ヨシカゲ,6034,よっしゃぁあああ！<br>どけどけどけどけぇえええい！,C,0
ヨシカゲ,6034,out,C,0
quakeEnd,0,,C,0
ピリカ,80007,in,C,0
ピリカ,80007,shake_random,C,0
ピリカ,80007,う、うわ！？<br>ちょ、ヨシカゲ！？,C,0
ピリカ,80007,out,C,0
黒の軍勢Ａ,80204,in,L,0
ヨシカゲ,6034,in,R,0
ヨシカゲ,6034,shake_v,R,0
ヨシカゲ,6034,たまんねえ！<br>たまんねえ戦だなこりゃよお！,R,0
ヨシカゲ,6034,fast_slide_l,R,0
se,0,SE_ZANGEKI_01,R,0
issen,0,,L,0
黒の軍勢Ａ,80204,dmg,L,0
wait,0,0.5,L,0
黒の軍勢Ａ,80204,dead_zako,L,0
wait,0,0.5,C,0
MulCharaOut,0,,C,0
フィーナ,80009,in,C,0
フィーナ,80009,shake_random,C,0
フィーナ,80009,す、すごいです……！<br>魔物がヨシカゲさんの勢いに押されてる！,C,0
フィーナ,80009,out,C,0
ヨシカゲ,6034,in,C,0
ヨシカゲ,6034,shake_v,C,0
ヨシカゲ,6034,死にたいやつぁ、オレの前に来ぉおおい！！,C,1
ヨシカゲ,6034,slide_to_r,C,0
wait,0,0.5,C,0
黒の軍勢Ｂ,80205,in,C,0
黒の軍勢Ｃ,80206,in,L,0
wait,0,0.5,C,0
ヨシカゲ,6034,out_to_l,R,0
se,0,SE_ZANGEKI_01,C,0
issen,0,,C,0
se,0,SE_ZANGEKI_01,L,0
issen,0,,L,0
wait,0,0.5,R,0
黒の軍勢Ｂ,80205,dmg,C,0
黒の軍勢Ｃ,80206,dmg,L,0
wait,0,0.5,R,0
黒の軍勢Ｂ,80205,dead_zako,C,0
黒の軍勢Ｃ,80206,dead_zako,L,0
wait,0,0.5,R,0
カイン,40,in,R,0
カイン,40,shake_v,R,0
カイン,40,負けてられるか！,R,0
ピリカ,80007,おぉ！？<br>義勇軍もヨシカゲにつられて勢いづいてきた！,L,0
ピリカ,80008,show,L,0
ピリカ,80008,※※※※※※、オイラたちも続こう！,L,0
